ID,英文名,中文名,类型,尺寸,初始等级,可用等级,英雄,标签,效果类型(HiddenTags),冷却(ms),伤害,治疗,护盾,购买价格,出售价格,技能1(英),技能1(中),技能2(英),技能2(中),技能3(英),技能3(中),Golden(黄金),Heavy(沉重),Icy(寒冰),Turbo(疾速),Shielded(护盾),Restorative(回复),Toxic(毒素),Fiery(炽焰),Shiny(闪亮),Deadly(致命),Radiant(辉耀),Obsidian(黑曜石)
14cd589f-5648-4fc7-82d1-c62da0047982,Subscraper,地下商街,Item / 物品,Large / 大型,Gold / 黄金,Gold/Diamond,Pygmalien / 皮格马利翁,Property / 地产,Heal / 治疗 | Value / 价值 | EconomyRef / 经济引用,7000,0,0,0,0,0,Heal equal to 4/6 times the value of your items,获得治疗，等量于己方物品价值的4/6倍,Your other Properties have +Value equal to this item's Value during combat.,其他地产在战斗中 + 价值，增幅等于此物品价值。,,,此物品的价值翻倍。,减速3件物品2秒,冻结2件物品1秒,加速3件物品2秒,获得护盾，等量于此物品治疗量,此物品的治疗量翻倍。,造成剧毒，等量于此物品治疗量的5%,造成灼烧，等量于此物品治疗量的5%,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,造成伤害，等量于此物品治疗量
aaf1216d-69b6-406e-98af-6a9bec12c8b4,Magnifying Glass,放大镜,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,Weapon / 武器 | Tool / 工具,Damage / 伤害,6000,5,0,0,0,0,Deal 5/15/30/50 Damage,造成5/15/30/50伤害,"When you sell this, your leftmost Weapon gains +5/15/30/50 Damage.",出售此物品时，最左侧的武器伤害提高+5/15/30/50。,,,此物品的价值翻倍。,减速一件物品3秒,冻结一件物品500秒,加速一件物品3秒,获得护盾，等量于此物品伤害量,获得治疗，等量于此物品伤害,造成剧毒，等量于此物品伤害的5%,造成灼烧，等量于此物品伤害的5%,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,此物品的伤害翻倍。
e5af5b7c-2e8f-4135-8e14-8d1ea71908de,Sword of Swords,万剑之王,Item / 物品,Medium / 中型,Legendary / 传奇,Diamond/Legendary,Common / 通用,Weapon / 武器 | Relic / 遗物,Damage / 伤害,5000,150,0,0,0,0,Deal 150 Damage,造成150伤害,This has +1 Multicast for each other item you have from a different Hero.,每拥有另一件来自不同英雄的物品，此物品就+1多重触发。,,,此物品的价值翻倍。,减速一件物品1秒,冻结一件物品500秒,加速一件物品1秒,获得护盾，等量于此物品伤害量,获得治疗，等量于此物品伤害,造成剧毒，等量于此物品伤害的5%,造成灼烧，等量于此物品伤害的5%,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,此物品的伤害翻倍。
63e5a09e-ad7c-44ee-ba7d-d1b515ae8e9e,Fishing Net,渔网,Item / 物品,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Vanessa / 瓦内莎,Aquatic / 水产 | Tool / 工具,Slow / 减速,6000,0,0,0,0,0,Slow 1/2/3/4 item(s) for 2 second(s),减速1/2/3/4件物品2秒,"At the start of each day, get a Piranha.",每天开始时，获得一条食人鱼。,,,……并为物品赋予黄金附魔（如适用）。,……并为物品赋予沉重附魔（如适用）。,……并为物品赋予寒冰附魔（如适用）。,……并为物品赋予疾速附魔（如适用）。,……并为物品赋予护盾附魔（如适用）。,……并为物品赋予回复附魔（如适用）。,……并为物品赋予毒素附魔（如适用）。,……并为物品赋予炽焰附魔（如适用）。,……并为物品赋予闪亮附魔（如适用）。,……并为物品赋予致命附魔（如适用）。,……并为物品赋予辉耀附魔（如适用）。,……并为物品赋予黑曜石附魔（如适用）。
c6cddb71-fa3a-43eb-8946-e71e139df8fa,Terry-Dactyl,特里翼龙,Item / 物品,Large / 大型,Gold / 黄金,Gold/Diamond,Dooley / 杜利,Friend / 伙伴 | Dinosaur / 恐龙 | Weapon / 武器,Damage / 伤害 | Flying / 飞行,14000,800,0,0,0,0,This starts or stops Flying,此物品开始或停止飞行,"When this stops Flying, deal 800/1600 Damage.",此物品停止飞行时，造成800/1600伤害。,"When you use a Dinosaur or Flying item, Charge this 2 second(s).",使用恐龙或飞行物品时，为此物品充能2秒。,此物品的价值翻倍。,此物品停止飞行时，减速所有敌方物品1秒。,此物品停止飞行时，冻结所有敌方物品500秒。,此物品停止飞行时，加速己方物品1秒。,此物品停止飞行时，获得护盾，等量于其伤害。,此物品停止飞行时，获得治疗，等量于其伤害。,此物品停止飞行时，造成剧毒，等量于其伤害的5%。,此物品停止飞行时，造成灼烧，等量于其伤害的5%。,此物品的充能提升一倍。,飞行物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,此物品的伤害翻倍。
48a56ce6-8c01-4d1f-853d-22e8b3dfea35,Pillbuggy,丸虫车,Item / 物品,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Stelle / 斯黛尔,Vehicle / 载具 | Weapon / 武器,Shield / 护盾 | Damage / 伤害 | HasteRef / 加速引用,10000,0,0,40,0,0,Shield 40,获得40护盾,Deal Damage equal to your Shield,造成伤害，等量于己方护盾,"When this is Hasted, this gains +40/80/120 Shield for the fight.",此物品被加速时，其护盾提高+40/80/120（限本场战斗）。,此物品的价值翻倍。,减速2件物品3秒,冻结2件物品1秒,加速2件物品3秒,此物品的护盾值翻倍。,获得治疗，等量于此物品护盾值,造成剧毒，等量于此物品护盾值的5%,造成灼烧，等量于此物品护盾值的5%,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,此物品的伤害翻倍。
85f59c88-c391-4a03-8c3b-f312518e81de,Force Field,力场,Item / 物品,Large / 大型,Silver / 白银,Silver/Gold/Diamond,Dooley / 杜利,Weapon / 武器 | Tech / 科技,Shield / 护盾 | Damage / 伤害,5000,0,0,30,0,0,Shield 30/40/50,获得30/40/50护盾,Deal Damage equal to your Shield,造成伤害，等量于己方护盾,,,此物品的价值翻倍。,减速3件物品1秒,冻结一件物品2秒,加速3件物品1秒,此物品的护盾值翻倍。,获得治疗，等量于当前护盾值,造成剧毒，等量于此物品伤害的5%,造成灼烧，等量于此物品伤害的5%,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,此物品的伤害翻倍。
5ded844c-5279-4c30-9198-309fba0b651b,Bag of Jewels,珠宝袋,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,Loot / 战利品,,0,0,0,0,3,3,Sells for Gold,可出售换得金币,,,,,,,,,,,,,,,,
b84f4145-cb4b-4d08-a6f7-0f41b06a0e1f,Infused Bracers,注能护腕,Item / 物品,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Mak / 马克,Apparel / 服饰 | Tool / 工具,Poison / 剧毒 | DamageRef / 伤害引用,6000,0,0,0,0,0,Poison both Players 8/16/24,对双方玩家都造成8/16/24剧毒,"When you Poison yourself, your Weapons gain + Damage for the fight equal to the amount Poisoned.",对自己造成剧毒效果时，己方武器伤害提高，增幅等于所造成剧毒（限本场战斗）。,The Weapon to the left has Lifesteal.,左侧武器获得吸血效果。,此物品的价值翻倍。,减速2件物品1秒,冻结一件物品1秒,加速2件物品1秒,获得护盾，等量于此物品剧毒的5倍,获得治疗，等量于此物品剧毒的5倍,此物品的剧毒翻倍。,造成灼烧，等量于此物品的剧毒,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,造成伤害，等量于此物品剧毒的5倍
25035a36-1105-4ef9-81b0-c5bb6926415b,Luxury Kiuas,豪华桑拿炉,Item / 物品,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Pygmalien / 皮格马利翁,Tool / 工具,Burn / 灼烧 | Value / 价值 | EconomyRef / 经济引用,8000,0,0,0,0,0,Burn equal to this item's value,造成灼烧，等量于此物品价值,"When you sell a Property, this item gains 3/6/9/12 value.",出售地产时，此物品的价值提高3/6/9/12。,,,此物品的价值翻倍。,减速2件物品3秒,冻结2件物品1秒,加速2件物品3秒,获得护盾，等量于此物品灼烧的5倍,获得治疗，等量于此物品灼烧的5倍,造成剧毒，等量于此物品灼烧,此物品的灼烧翻倍。,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,造成伤害，等量于此物品灼烧的5倍
