ID,英文名,中文名,描述(英),描述(中),尺寸,初始等级,可用等级,英雄,标签,效果类型(HiddenTags),图标,卡包ID,生成资格,多重施放
b1b9ff21-32ac-436a-bd3c-120563b26bea,Some Like It Hot,热情如火,Your Heated items are immune to Freeze.,高温物品免疫冻结。,Medium / 中型,Diamond / 钻石,Diamond,Jules / 朱尔斯,,,Icon_Skill_ThirdDegreeBurns.png,,,0
8ccadf9b-11f9-4cf7-9462-b287926abb99,Wax and Wane,月有圆缺,"The first time you use a Large item each fight, Slow all items 1 second. | The first time you fall below half Health each fight, Haste all items 1 second.",每场战斗首次使用大型物品时，减速所有物品1秒。 | 每场战斗己方生命值首次降至一半时，加速所有物品1秒。,Medium / 中型,Diamond / 钻石,Diamond,Common / 通用,,,Icon_Skill_MON_WaxAndWane,,,0
3c90df05-0cf7-4555-bebc-4eedd5d46356,Thrill of the Flight,凌空的刺激,Your Flying items' Cooldowns are reduced by 5/10%.,飞行物品的冷却时间缩短5/10%。,Medium / 中型,Gold / 黄金,Gold/Diamond,Stelle / 斯黛拉,,FlyingRef / 飞行引用 | Cooldown / 冷却,Assets/TheBazaar/Art/UI/Skills/Stelle/Icon_Skill_STE_ThrillOfTheFlight.png,,,0
41b9dac8-8020-4a0b-bd4e-c069b4cb1caf,Honed Strike,锐化打击,"When you use an item, it gains +5/10% Crit Chance for the fight.",使用物品时，该物品暴击率提高+5/10%（限本场战斗）。,Medium / 中型,Gold / 黄金,Gold/Diamond,Vanessa / 凡妮莎 | Mak / 马克 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Dooley / 杜利,,Crit / 暴击,Icon_Skill_HonedStrike.png,,,0
6ef03e95-f3af-47d8-871f-e8c1e043a195,Medic's Shield,,Your rightmost item has +10/20/30 Shield if it is a Shield item and +10/20/30 Heal if it is a Heal item.,[未翻译],Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Pygmalien / 皮格马利翁 | Vanessa / 凡妮莎,,HealRef / 治疗引用 | ShieldRef / 护盾引用,Icon_Skill_MedicsShield.png,,,0
b6334c78-623c-4662-8642-8e05555d873a,Quick Freeze,急速冻结,"The first time you Haste each fight, Freeze an item for 2/3/4 second(s).",每场战斗首次触发加速时，冻结一件物品2/3/4秒。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Dooley / 杜利 | Vanessa / 凡妮莎 | Stelle / 斯黛拉 | Jules / 朱尔斯,,HasteRef / 加速引用 | Freeze / 冻结,Icon_Skill_QuickFreeze.png,,,0
36410add-d0de-4618-a099-ceb32a87c589,Tiny Dancer,小小舞者,"If you have at least 7 items, your items' Cooldowns are reduced by 5/10%.",如果拥有不少于7件物品，己方物品的冷却时间就缩短5/10%。,Medium / 中型,Gold / 黄金,Gold/Diamond,Dooley / 杜利 | Vanessa / 凡妮莎 | Jules / 朱尔斯,,Cooldown / 冷却,Icon_Skill_TinyDancer.png,,,0
a03e4ce6-4480-4edc-b612-8e1f6700cc26,Flashy Pilot,炫技飞行员,"When you use a Vehicle, your items gain 3/6/9% Crit Chance.",使用载具时，你的物品暴击率提高3/6/9%。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Vanessa / 凡妮莎 | Dooley / 杜利 | Stelle / 斯黛拉,Vehicle / 载具,Crit / 暴击,Icon_Skill_FlashyPilot.png,,,0
d6251362-7c11-4a7e-9d6d-97f445f2f828,Burn Containment,灼烧遏制,"The first 4/8 times you Burn each fight, Charge a Shield item 1 second(s).",每场战斗前4/8次触发灼烧时，为一件护盾物品充能1秒。,Medium / 中型,Gold / 黄金,Gold/Diamond,Dooley / 杜利 | Pygmalien / 皮格马利翁,,Charge / 充能 | BurnRef / 灼烧引用 | ShieldRef / 护盾引用,Icon_Skill_Incinerate.png,,,0
a2f2825f-81c5-498d-9541-b50c4ed9216a,Time Traveler,时间旅行者,Your Dinosaur and Relic items' Cooldowns are reduced by 5/10%.,恐龙和遗物的冷却时间缩短5/10%。,Medium / 中型,Gold / 黄金,Gold/Diamond,Dooley / 杜利,Dinosaur / 恐龙 | Relic / 神器,Cooldown / 冷却,Icon_Skill_DOO_Timetraveler,,,0
00f1ae18-33a6-499d-b2ea-319ac3debab9,Left Eye,左眼,Your leftmost item has +8/16/24/32% Crit Chance.,最左侧物品的暴击率+8/16/24/32%。,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Pygmalien / 皮格马利翁 | Vanessa / 凡妮莎 | Dooley / 杜利 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克,,Crit / 暴击,Icon_Skill_LeftEyeDominant.png,,,0
e10188fc-6b44-49b8-afbb-6c9d41b9b85f,Surrounded by Joy,,"The first time you use a Large item each fight, adjacent items gain 15 Joy for the fight.",[未翻译],Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Jules / 朱尔斯,,JoyRef / 快乐引用,Icon_Skill_Placeholder.png,,,0
0f1c6082-c742-4d6a-bf11-12ded9a8bb29,Cult Member,教团成员,You have joined the Cult,你已加入教团,Medium / 中型,Legendary / 传奇,Diamond,Common / 通用,,,Icon_Skill_Cultemember,,,0
7434f3a5-2432-4603-b6d7-46febb9272fd,Tracer Fire,追踪火焰,"When you Burn, your items gain +1/2/3% Crit Chance for the fight.",触发灼烧时，己方物品暴击率提高+1/2/3%（限本场战斗）。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Vanessa / 凡妮莎 | Dooley / 杜利 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克,,BurnRef / 灼烧引用 | Crit / 暴击,Icon_Skill_TracerFire.png,,,0
b76e0b9a-481c-4128-9ed3-a290f3b21b4f,Peaceful Eye,宁静之眼,Your Non-Weapon items have +5/10/15/20% Crit Chance.,非武器物品+5/10/15/20%暴击率。,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Pygmalien / 皮格马利翁 | Vanessa / 凡妮莎 | Dooley / 杜利 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克,,Crit / 暴击,Icon_Skill_PeacefulEye.png,,,0
c5936035-d32a-4d82-8dfc-44deb993b5ea,Pickpocket,扒手,"At the start of each fight, gain 1/2/3/4 Gold.",每场战斗开始时，获得1/2/3/4金币。,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,,Gold / 金币,Icon_Skill_MON_Greed_02.png,,,0
80b1dcad-fc56-43a2-8bcc-cc41e62a7616,Heat Lover,热辣爱好者,"When you Burn, gain 2/4 Regen for the fight.",触发灼烧时，生命再生量提高2/4（限本场战斗）。,Medium / 中型,Gold / 黄金,Gold/Diamond,Common / 通用,,BurnRef / 灼烧引用 | Regen / 再生,Icon_Skill_MON_HeatLover.png,,,0
5dcd2249-8e1c-47ff-aaba-ad2e2a44490c,Master Sniper,狙击大师,Your leftmost Ammo Weapon has double damage and +1 Max Ammo.,最左侧的弹药武器伤害翻倍，最大弹药量+1。,Medium / 中型,Diamond / 钻石,Diamond,Vanessa / 凡妮莎,Weapon / 武器,Ammo / 弹药 | DamageRef / 伤害引用,Icon_Skill_VAN_MasterSniper,,,0
2d9ee50a-e31b-4b43-b667-ca93ed1e248f,Quicken Weapons,,The Cooldowns of your Weapons with Cooldown greater than 10 seconds are reduced by 1000/2000 second(s).,[未翻译],Medium / 中型,Gold / 黄金,Gold/Diamond,Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克 | Dooley / 杜利 | Vanessa / 凡妮莎 | Pygmalien / 皮格马利翁,Weapon / 武器,Cooldown / 冷却,Icon_Skill_QuickDraw.png,,,0
ee6059b6-f960-4ede-a65d-ad97cf4393b7,Small item Specialist,,Your items have +5/10/15% Crit Chance if you have 4 or more Small items.,[未翻译],Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Pygmalien / 皮格马利翁 | Vanessa / 凡妮莎 | Dooley / 杜利 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克,,Crit / 暴击,Icon_Skill_SmallSpecialist.png,,,0
8c16e6c8-2f44-4335-b31e-5b2268bf790e,Finesse Shield,敏捷护盾,"While your enemy has more Health than you, your Shield items' Cooldowns are reduced by 5/10/15%.",敌方生命值高于你时，己方护盾物品的冷却时间缩短5/10/15%。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Dooley / 杜利,,ShieldRef / 护盾引用 | Cooldown / 冷却,Icon_Skill_FinesseShield.png,,,0
6f593cc1-b44a-43d6-a83b-a68fb477aef2,Venomous Vitality,剧毒之血,You have +Regen equal to half the Poison on an enemy.,生命再生量提高，增幅等于一位敌人剧毒的一半。,Medium / 中型,Diamond / 钻石,Diamond,Vanessa / 凡妮莎 | Mak / 马克,,Regen / 再生 | PoisonRef / 剧毒引用,Icon_Skill_NaturalRemedy.png,,,0
385d9634-f0ab-41f0-be0b-7b2eb280282f,Ancient Vengeance,远古复仇,"When an enemy uses a Weapon, Charge a Relic 1 second.",敌人使用武器时，为一件遗物充能1秒。,Medium / 中型,Diamond / 钻石,Diamond,Common / 通用,Relic / 神器,Charge / 充能,Icon_Skill_MON_AncientVengeance,,,0
f1c3b934-254a-459f-9078-023edbcfcb03,Healthy Hoarder,养生囤积狂,You have +75/175/275 Max Health for each Non-Weapon item you have. [75/175/275],每拥有一件非武器物品，就+75/175/275最大生命值。[75/175/275],Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Pygmalien / 皮格马利翁,,,Icon_Skill_HealthyCollector.png,,,0
cf56751a-0973-486f-aec4-c8b21227b648,Middle of the Pack,,Your Medium items' Cooldowns are reduced by 5/10%.,[未翻译],Medium / 中型,Gold / 黄金,Gold/Diamond,Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克 | Dooley / 杜利 | Vanessa / 凡妮莎 | Pygmalien / 皮格马利翁,,Cooldown / 冷却,Icon_Skill_MiddleOfThePack.png,,,0
81d2e9a9-1731-457d-9601-0ded9c19b28f,Siphoned Shield,虹吸护盾,Your Shield items have +Shield equal to 100/200% of the Poison on your enemy.,护盾物品 + 护盾值，增幅等于敌人所受剧毒的100/200%。,Medium / 中型,Gold / 黄金,Gold/Diamond,Common / 通用,,ShieldRef / 护盾引用 | PoisonRef / 剧毒引用,Icon_Skill_MON_SiphonedShield,,,0
c50a4b17-233d-4da5-a8ff-4c4561b6057e,Rolling Boil,滚沸,Your Heated items have their cooldowns reduced by 5/10%.,高温物品的冷却时间缩短5/10%。,Medium / 中型,Gold / 黄金,Gold/Diamond,Jules / 朱尔斯,,Cooldown / 冷却,Icon_Skill_JUL_RoilingBoil,,,0
a89060ce-17fa-4706-9c6c-79c0834eeb2c,Liquid Cooled,水冷,"The first 5/10 times use a Core each fight, Freeze an item of equal or Smaller size for 1 second(s).",每场战斗前5/10次使用核心时，冻结一件尺寸相等或更小的物品1秒。,Medium / 中型,Gold / 黄金,Gold/Diamond,Dooley / 杜利,Core / 核心,Freeze / 冻结,Icon_Skill_DOO_LiquidCooled.png,,,0
d8e7fa0a-9127-4a11-a84e-d479a011a92d,Improvised Poison,临时毒物,"When you Crit, your Poison items gain 1/2/3 Poison for the fight.",造成暴击时，剧毒物品的剧毒提高1/2/3（限本场战斗）。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Vanessa / 凡妮莎 | Mak / 马克,,PoisonRef / 剧毒引用 | CritRef / 暴击引用,Icon_Skill_ImprovisedPoison.png,,,0
